Customer account created,2024-05-15 18:28:49
Customer logged in,2024-05-15 18:30:30
Customer login,2024-05-15 18:30:30
Customer account created,2024-05-15 18:37:04
Customer account created,2024-05-15 18:41:08
Customer account created,2024-05-15 18:43:44
Customer account created,2024-05-15 18:44:51
Customer account created,2024-05-15 18:56:50
Customer account created,2024-05-15 18:57:52
Customer account created,2024-05-15 18:59:00
Customer account created,2024-05-15 19:03:17
Customer account created,2024-05-15 19:05:10
Customer account created,2024-05-15 19:07:13
Customer account created,2024-05-15 19:08:29
Customer logged in,2024-05-15 19:08:39
Customer login,2024-05-15 19:08:39
Customer logged in,2024-05-15 19:49:23
Customer login,2024-05-15 19:49:23
Found upcoming events,2024-05-15 19:49:34
Admin account created,2024-05-15 19:54:22
Admin logged in,2024-05-15 19:54:26
Admin login,2024-05-15 19:54:26
User logged out,2024-05-15 19:54:27
Artist account created,2024-05-15 22:21:36
Artist logged in,2024-05-15 22:21:40
Artist login,2024-05-15 22:21:40
Profile shown,2024-05-15 22:21:50
Showed bio,2024-05-15 22:22:02
Updated bio,2024-05-15 22:22:15
Showed bio,2024-05-15 22:22:17
Artist logged in,2024-05-15 22:31:17
Artist login,2024-05-15 22:31:17
Showed genre,2024-05-15 22:31:22
Updated genre,2024-05-15 22:31:34
Showed genre,2024-05-15 22:31:38
Showed rating,2024-05-15 22:31:45
Artist logged in,2024-05-15 22:33:32
Artist login,2024-05-15 22:33:32
Showed rating,2024-05-15 22:33:35
Showed reviews,2024-05-15 22:33:40
Showed events,2024-05-15 22:33:51
Showed tickets,2024-05-15 22:33:58
Showed events,2024-05-15 22:34:49
Concert added,2024-05-15 22:37:14
Artist logged in,2024-05-16 00:05:26
Artist login,2024-05-16 00:05:26
Showed events,2024-05-16 00:05:30
Artist logged in,2024-05-16 00:08:04
Artist login,2024-05-16 00:08:04
Artist logged in,2024-05-16 00:08:42
Artist login,2024-05-16 00:08:42
Artist logged in,2024-05-16 00:10:17
Artist login,2024-05-16 00:10:17
Artist logged in,2024-05-16 00:11:16
Artist login,2024-05-16 00:11:16
Artist logged in,2024-05-16 00:14:45
Artist login,2024-05-16 00:14:45
Artist logged in,2024-05-16 00:16:52
Artist login,2024-05-16 00:16:52
Artist logged in,2024-05-16 00:18:11
Artist login,2024-05-16 00:18:11
Artist logged in,2024-05-16 00:18:40
Artist login,2024-05-16 00:18:40
Concert added,2024-05-16 00:19:30
User logged out,2024-05-16 00:19:35
Customer logged in,2024-05-16 01:03:27
Customer login,2024-05-16 01:03:27
Showed history,2024-05-16 01:03:32
Showed reviews,2024-05-16 01:03:37
Customer logged in,2024-05-16 01:05:28
Customer login,2024-05-16 01:05:28
Showed reviews,2024-05-16 01:05:34
Showed ordered tickets,2024-05-16 01:05:52
Found upcoming events,2024-05-16 01:05:56
Customer logged in,2024-05-16 01:09:22
Customer login,2024-05-16 01:09:22
Added funds to wallet,2024-05-16 01:09:40
Reserved ticket,2024-05-16 01:10:09
Customer logged in,2024-05-16 01:14:16
Customer login,2024-05-16 01:14:16
Reserved ticket,2024-05-16 01:14:27
Customer logged in,2024-05-16 01:16:49
Customer login,2024-05-16 01:16:49
User logged out,2024-05-16 01:16:50
Profile shown,2024-05-16 01:17:04
Artist logged in,2024-05-16 01:17:21
Artist login,2024-05-16 01:17:21
User logged out,2024-05-16 01:17:23
Admin logged in,2024-05-16 01:17:35
Admin login,2024-05-16 01:17:35
User logged out,2024-05-16 01:17:37
Customer logged in,2024-05-16 01:17:45
Customer login,2024-05-16 01:17:45
User logged out,2024-05-16 01:17:48
Customer logged in,2024-05-16 01:20:34
Customer login,2024-05-16 01:20:34
User logged out,2024-05-16 01:20:36
Customer logged in,2024-05-16 01:20:43
Customer login,2024-05-16 01:20:43
Showed ordered tickets,2024-05-16 01:21:01
Customer logged in,2024-05-16 01:26:22
Customer login,2024-05-16 01:26:22
Showed ordered tickets,2024-05-16 01:26:26
